Order ID,Order Date,Customer ID,Product ID,Region,Quantity,Unit Price,Cost,Return Flag
O0001,2024-12-02,C008,P016,North,8,264,2168,0
O0002,2023-07-07,C028,P013,North,5,329,1180,0
O0003,2023-12-10,C001,P012,West,1,394,28,0
O0004,2024-02-23,C001,P005,South,3,130,546,0
O0005,2023-07-20,C008,P012,South,9,77,1386,0
O0006,2024-12-28,C005,P003,West,7,456,567,0
O0007,2024-09-04,C015,P014,East,3,498,738,0
O0008,2023-01-15,C026,P010,West,7,304,1582,0
O0009,2023-04-06,C004,P005,East,7,290,497,0
O0010,2024-11-29,C019,P002,South,4,62,716,0
O0011,2024-09-11,C012,P020,South,9,183,423,0
O0012,2023-07-09,C001,P001,North,7,397,1750,0
O0013,2023-09-16,C007,P006,West,9,165,2268,0
O0014,2024-11-14,C024,P015,East,5,274,1265,0
O0015,2023-04-23,C030,P017,South,8,282,1592,1
O0016,2024-09-04,C017,P017,East,7,435,924,0
O0017,2023-08-13,C001,P019,South,2,269,146,0
O0018,2024-03-14,C011,P017,East,6,465,1596,0
O0019,2023-07-17,C022,P011,East,5,421,585,0
O0020,2023-07-06,C006,P016,North,1,250,143,0
O0021,2023-05-28,C007,P020,North,4,452,664,0
O0022,2024-04-17,C018,P010,East,7,387,1036,0
O0023,2023-10-31,C030,P012,North,9,109,189,1
O0024,2023-04-09,C019,P016,West,7,58,1764,0
O0025,2024-11-03,C024,P020,East,8,103,1112,1
O0026,2023-09-11,C003,P016,South,4,471,492,1
O0027,2023-06-12,C016,P009,West,9,398,1917,0
O0028,2024-05-18,C008,P007,East,1,447,296,0
O0029,2024-10-31,C006,P006,North,1,225,41,0
O0030,2023-08-14,C021,P001,West,8,332,368,0
O0031,2024-05-30,C003,P017,West,1,366,166,0
O0032,2023-02-06,C024,P017,South,5,55,590,1
O0033,2023-07-10,C029,P001,West,3,237,405,0
O0034,2024-07-19,C026,P003,West,2,330,484,0
O0035,2024-09-30,C027,P010,South,2,337,340,0
O0036,2023-06-25,C007,P010,East,8,466,2120,0
O0037,2024-05-20,C007,P004,North,2,458,64,0
O0038,2024-04-15,C015,P002,South,8,449,1288,0
O0039,2024-11-28,C030,P017,West,6,100,1032,0
O0040,2023-09-21,C021,P012,West,6,493,720,0
O0041,2024-10-17,C013,P018,West,4,311,264,0
O0042,2024-08-26,C026,P005,South,3,194,417,1
O0043,2023-02-27,C026,P001,East,7,176,1036,0
O0044,2024-05-02,C013,P001,West,6,97,648,0
O0045,2023-03-17,C026,P016,East,5,327,1330,0
O0046,2023-03-10,C015,P017,South,9,334,2151,0
O0047,2024-04-18,C016,P007,West,4,253,948,0
O0048,2024-06-05,C022,P005,West,5,72,1345,0
O0049,2023-11-21,C013,P004,West,3,491,345,0
O0050,2024-04-19,C020,P012,South,7,307,1253,0
O0051,2024-03-02,C005,P012,East,1,466,198,0
O0052,2024-07-09,C029,P013,West,8,379,496,0
O0053,2023-02-04,C023,P017,South,2,302,522,0
O0054,2023-07-15,C026,P018,North,2,164,248,1
O0055,2023-10-04,C029,P004,South,8,469,1888,0
O0056,2024-11-19,C003,P016,West,8,241,1968,0
O0057,2024-10-24,C030,P005,West,7,145,1197,0
